property_type,society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,BHK,Location,Other,servant,Store,Pooja,luxury_score,Furnished,carpet12,Build,Super_area
flat,ramsons kshitij,0.29,5178,2,2,2,14,moderate,2,Sector 95,0,0,0,0,50,1,447.8261619,503.8345604,560.045717
flat,sidhartha ncr one,0.55,5556,2,2,3,15,unknown,2,Sector 95,0,0,0,0,0,1,950.021814,989.955883,1100.401989
flat,raheja sampada,0.65,4744,3,2,3,6,moderate,3,Sector 92,0,0,0,0,49,1,1095.508627,1232.520908,1370.029192
flat,signature the serenas,0.5,9406,2,2,2,6,new,2,Sohna,0,0,0,0,37,1,531.521382,597.9973137,664.7138975
flat,pareena laxmi apartments,0.32,5521,2,2,1,2,new,2,Sector 99A,0,0,0,0,43,1,570.163783,641.4726146,575.007538
flat,satya the hermitage,0.93,6404,2,3,3,3,moderate,2,Sector 103,0,1,0,0,90,0,1452.05011,1633.654063,1815.915447
flat,smart world gems,1.2,8432,3,3,2,2,new,3,Sector 89,0,0,0,0,44,1,1422.98758,1600.956761,1779.570216
flat,gls arawali homes,0.3,4687,2,2,2,4,moderate,2,Sohna,0,0,0,0,42,1,640.021494,720.0672392,800.4027611
flat,signature global park,0.56,6812,2,2,3,3,new,2,Sohna,0,0,0,0,111,1,822.039043,924.8492274,1028.031599
flat,bestech park view city,2.7,12505,3,4,3+,6,old,3,Sector 49,0,0,0,0,0,1,1726.407295,1942.324354,2159.023062
flat,shree vardhman flora,1,5128,3,4,3,8,new,3,Sector 90,0,1,0,0,95,1,1559.25788,1754.270017,1949.988124
flat,afnhb jalvayu vihar,1.45,11153,3,2,2,2,very old,3,Sector 30,0,0,0,0,75,2,1089.952514,1299.956203,1444.98802
flat,m3m soulitude,1.25,8784,3,3,0,4,unknown,3,Sector 89,0,0,0,0,0,1,1189.949145,1422.98758,1581.745601
flat,pyramid elite,0.46,79,2,2,1,0,under construction,2,Sector 86,0,0,0,0,15,1,58140.99057,65412.52592,72710.38524
flat,emaar mgf palm terraces,4.5,10599,5,5,3+,11,new,5,Sector 66,0,1,0,0,105,1,2934.582547,3301.602794,3669.951705
flat,anamika enclave,0.64,6500,2,2,1,1,new,2,Sector 15 Part 1,0,0,0,0,0,1,799.5973562,899.6008199,999.96631
flat,hcbs sports ville,0.28,3768,2,2,1,11,moderate,2,Sohna,0,0,0,0,38,1,643.035386,743.032017,825.9296433
flat,puri the aravallis,3.87,17200,3,4,3+,21,under construction,3,Sector 61,0,1,0,0,58,1,1249.68879,1405.983964,2249.978017
flat,brisk lumbini terrace homes,1.38,6338,3,3,1,4,old,3,Sector 109,0,0,0,0,20,1,2176.998775,2449.270083,2722.527051
flat,huda ashok vihar phase,0.43,6615,2,2,1,2,moderate,2,Laxman Vihar,0,0,0,0,7,1,650.031921,731.3296431,812.9216742
flat,my home,0.28,3166,2,1,1,2,moderate,2,New Palam Vihar,1,0,0,0,15,1,899.969679,1012.526436,1125.490664
flat,signature global city,1.1,9838,2,2,2,4,unknown,2,Sector 37D,0,0,0,0,0,1,1118.046293,1257.877298,1398.214511
flat,m3m heights,2,13957,2,2,2,32,unknown,2,Sector 65,0,0,0,0,0,1,999.96631,1432.998007,1592.872858
flat,signature global park,0.9,8035,3,2,2,2,under construction,3,Sohna,0,0,0,0,144,1,895.566253,1007.572285,1119.983795
flat,signature global park,0.9,8036,3,2,0,2,under construction,3,Sohna,0,0,0,0,0,1,995.4816199,1119.983795,1244.936685
flat,godrej nature plus,1.75,8768,3,3,0,2,unknown,3,Sector-33 Sohna,0,0,0,0,0,1,1774.071665,1995.949977,2218.631519
flat,supertech hues,0.93,8611,2,2,2,11,unknown,2,Sector 68,0,0,0,0,0,1,1080.049726,1215.128604,1350.696486
flat,dlf new town heights,1.8,6600,4,4,3+,23,old,4,Sector 90,0,0,0,0,0,1,2180.602693,2453.324733,2727.034065
flat,central park flower valley aqua front towers,2.1,11738,3,3,2,6,under construction,3,Sector-33 Sohna,0,0,0,0,24,1,1430.496024,1609.404266,1788.96018
flat,ambience creacions,2,14492,2,2,2,9,moderate,2,Sector 22,0,0,0,0,49,1,1380.039619,1552.637416,1725.86004
