BHK,House,Location,Bedroom,Bathroom,balcony,Furnish_Details,other,Study,pooja,store,servant,Floor,price,rate,society,AgeofProperty,Feature,plot,Build,carpet
6,House,Laxmi Garden,6,6,3+ ,1,0,0,0,0,0,3,2.1,17284,,moderate,14,1216.3207,936.566939,884.5968727
2,House,Sector 31 Gurgaon,2,2,2,0,0,0,0,0,0,2,4.6,32258,,unknown,0,1845.24,1420.8348,1341.992727
3,House,Ashok Vihar Phase 2,3,4,2,0,0,0,0,0,0,2,1,11111,,moderate,0,904.1676,696.209052,657.5764364
6,House,Rajendra Park,6,4,1,0,0,0,0,0,0,1,1.1,12222,,unknown,0,1243.23045,957.2874465,904.1676
4,House,Sector 69 Gurgaon,4,3,2,1,1,0,1,0,0,3,2.95,16389,Tulip Yellow,new,111,1797.5713,1384.129901,1307.324582
6,House,Sector 31 Gurgaon,6,4,3+ ,0,1,0,0,0,0,3,4.6,31506,HUDA Housing Board Colony,very old,8,1463.8904,1127.195608,1064.647564
12,House,Laxmi Garden,12,9,1,1,1,1,1,0,1,3,1.5,12820,Laxmi Garden Sector-11,moderate,106,1173.2651,903.414127,853.2837091
8,House,DLF Phase 3,8,10,3+ ,0,0,0,0,0,0,1,10,229885,,unknown,0,592.0145,455.851165,430.556
4,House,Palam Vihar,4,5,2,1,0,0,0,0,0,1,5.2,10000,Ansal Celebrity Homes,unknown,0,6751.900909,5198.9637,4910.473388
6,House,Sector 50 Gurgaon,6,5,3+ ,1,1,1,1,0,1,2,5,232,,new,0,215966.8896,166294.505,157066.8288
6,House,Sector 17 Gurgaon,6,6,3+ ,0,0,0,0,0,0,3,3.5,218750,,unknown,0,209.6863636,161.4585,152.4991736
2,House,Sohna,2,3,2,1,0,1,1,0,0,1,1.5,14245,,new,69,1054.8622,812.243894,767.1725091
3,House,Sector 103 Gurgaon,3,5,3+ ,0,0,0,0,0,0,10,2.25,6367,,unknown,0,4585.141818,3530.5592,3334.648595
5,House,DLF Phase 2,5,6,3+ ,1,1,0,0,0,0,4,13.5,37313,,very old,79,3616.6704,2784.836208,2630.305745
1,House,Mianwali Colony,1,1,1,0,0,0,0,0,1,1,1.7,9444,mian wali,very old,7,1797.5713,1384.129901,1307.324582
6,House,Rajendra Park,6,2,1,0,0,0,0,0,0,2,1.2,10122,,very old,9,1184.029,911.70233,861.112
4,House,Patel Nagar,4,3,1,1,0,0,0,0,0,1,1.8,10000,,very old,16,1797.5713,1384.129901,1307.324582
5,House,Sector 67 Gurgaon,5,3,2,0,0,0,0,0,0,2,1.5,8642,,new,0,2234.854738,1720.838148,1625.3489
13,House,Sector 38 Gurgaon,13,13,3+ ,2,0,0,0,0,0,5,4.3,245398,HUDA Plot Sector 38,moderate,7,161.4585,124.323045,117.4243636
4,House,Sector 67 Gurgaon,4,4,0,1,0,0,0,0,0,3,3,11904,,unknown,0,3463.284825,2666.729315,2518.7526
9,House,Sector 52 Gurgaon,9,9,3+ ,1,1,0,1,0,1,3,5.5,183333,Ardee City,old,26,301.3892,232.069684,219.1921455
4,House,Sector 103 Gurgaon,4,3,3+ ,0,0,0,0,0,0,20,3.25,8125,Indiabulls Centrum Park,unknown,0,4004.1708,3083.211516,2912.124218
5,House,Sector 7 Gurgaon,5,3,3+ ,1,0,1,1,0,1,3,2.3,17037,Huda Flats,very old,27,1345.4875,1036.025375,978.5363636
